time,doctor,nurses,infected,family
1,0.49699894110232645,0.5676472774896546,0.6024364146152457,0.5881276941436602
2,0.43109552565352205,0.5564552767202913,0.5702222921863052,0.5920680144066954
3,0.4528006453664609,0.55029556490934,0.5321401539634054,0.5861946109758278
4,0.43776858482947967,0.5563011011150314,0.5999375898405772,0.5718328315604995
5,0.4264594385767948,0.5530823818718519,0.5358878076599958,0.5530370716630697
6,0.48021430956324407,0.5696900476760101,0.562722739632288,0.5541647736958226
7,0.43623330932122606,0.5603504823376669,0.5749459708699103,0.5893693685856284
8,0.4461919342906747,0.5287685402216795,0.5283700440009753,0.5559737986211369
9,0.46186836571396317,0.5346496941246988,0.5716951461927046,0.5334022594401895
10,0.45808013921105106,0.5436151742719321,0.5425146933212803,0.5583381943969914
11,0.46892327396215994,0.576897734545261,0.5231658910063427,0.5450637259025825
12,0.4522337712686564,0.5199301782319319,0.5406293872647308,0.552956696050509
